Assembly	Contig_ID	Strand	Extracted_Length	rlmH_relative_start	rlmH_relative_end
GCF_045939485.1	NZ_CP064593.1	+	1032166	31686	32166
GCF_026314335.1	NZ_CP111111.1	+	1032161	31681	32161
GCF_036419715.1	NZ_CP134835.1	+	1032161	31681	32161
GCF_016834495.1	NZ_CP069219.1	+	1032159	31679	32159
GCF_003325735.1	NZ_CP030246.1	+	1032169	31689	32169
GCF_024204885.1	NZ_CP093202.1	+	1032171	31691	32171
GCF_045926615.1	NZ_CP064456.1	+	1032156	31676	32156
GCF_024204985.1	NZ_CP093212.1	+	1032173	31693	32173
GCF_002085695.1	NZ_CP020463.1	+	1032154	31674	32154
GCF_006742205.1	NZ_AP019721.1	+	1032161	31681	32161
GCF_045934285.1	NZ_CP064540.1	+	1032161	31681	32161
GCF_047305325.1	NZ_CP178726.1	+	1032172	31692	32172
GCF_045931835.1	NZ_CP064516.1	+	1032174	31694	32174
GCF_019330105.1	NZ_CP073883.1	-	1030815	30335	30815
GCF_001956655.1	NZ_CP018842.1	+	352926	31634	32114
GCF_045936875.1	NZ_CP064568.1	+	1032166	31686	32166
GCF_024204705.1	NZ_CP093165.1	+	1032159	31679	32159
GCF_019329765.1	NZ_CP073869.1	+	1032172	31692	32172
GCF_030012845.1	NZ_CP118842.1	+	1032174	31694	32174
GCF_045937755.1	NZ_CP064650.1	+	1032173	31693	32173
GCF_021513055.1	NZ_CP090989.1	+	1032169	31689	32169
GCF_021398325.1	NZ_CP071992.1	+	1032170	31690	32170
GCF_024204745.1	NZ_CP093173.1	+	1032171	31691	32171
GCF_019330205.1	NZ_CP073898.1	+	1032172	31692	32172
GCF_021513115.1	NZ_CP090993.1	+	1032153	31673	32153
GCF_019329725.1	NZ_CP073863.1	+	1032172	31692	32172
GCF_038070245.1	NZ_CP114450.1	+	1032153	31673	32153
GCF_025558685.1	NZ_CP094729.1	+	1032156	31676	32156
GCF_038070515.1	NZ_CP114453.1	+	1032153	31673	32153
GCF_029691685.1	NZ_CP121507.1	+	1032159	31679	32159
GCF_045934275.1	NZ_CP064536.1	+	1032158	31678	32158
GCF_009873455.1	NZ_CP043845.1	+	1032149	31669	32149
GCF_024204865.1	NZ_CP093196.1	+	1032173	31693	32173
GCF_016834475.1	NZ_CP069215.1	+	1032166	31686	32166
GCF_021496075.1	NZ_CP090922.1	+	1032164	31684	32164
GCF_029691795.1	NZ_CP121480.1	+	833740	31665	32145
GCF_047528335.1	NZ_CP180177.1	+	1032154	31674	32154
GCF_029457615.1	NZ_CP120425.1	+	1032173	31693	32173
GCF_042464785.1	NZ_CP170251.1	+	1032134	31654	32134
GCF_030435955.1	NZ_CP129374.1	+	1032158	31678	32158
GCF_045942175.1	NZ_CP064624.1	+	1032173	31693	32173
GCF_045935665.1	NZ_CP064554.1	+	1032174	31694	32174
GCF_045940975.1	NZ_CP064619.1	+	1032173	31693	32173
GCF_045943905.1	NZ_CP064633.1	+	1032166	31686	32166
GCF_045938735.1	NZ_CP064580.1	+	1032156	31676	32156
GCF_023547085.1	NZ_CP097512.1	+	1035640	35160	35640
GCF_024204965.1	NZ_CP093210.1	+	1032159	31679	32159
GCF_045940705.1	NZ_CP064616.1	+	1032173	31693	32173
GCF_021496035.1	NZ_CP090915.1	+	1032151	31671	32151
GCF_024204825.1	NZ_CP093188.1	+	1032153	31673	32153
GCF_045936865.1	NZ_CP064560.1	+	1032174	31694	32174
GCF_022832915.1	NZ_CP094865.1	+	1032162	31682	32162
GCF_030435915.1	NZ_CP129365.1	+	1032153	31673	32153
GCF_019329365.1	NZ_CP073827.1	+	1031324	30844	31324
GCF_009685135.1	NZ_CP045648.1	+	1032173	31693	32173
GCF_047273405.1	NZ_CP178524.1	+	1032169	31689	32169
GCF_045937745.1	NZ_CP064572.1	+	1032173	31693	32173
GCF_045939955.1	NZ_CP064606.1	+	1032173	31693	32173
GCF_024204925.1	NZ_CP093205.1	+	1032159	31679	32159
GCF_024204765.1	NZ_CP093179.1	+	1032173	31693	32173
GCF_019330165.1	NZ_CP073893.1	+	1032172	31692	32172
GCF_047358875.1	NZ_CP178841.1	+	1032160	31680	32160
GCF_029691895.1	NZ_CP121502.1	-	1030817	30337	30817
GCF_026153315.1	NZ_CP110611.1	+	1032135	31655	32135
GCF_038116975.1	NZ_CP132999.1	+	1032170	31690	32170
GCF_014490515.1	NZ_CP061029.1	-	1030789	30309	30789
GCF_011038575.1	NZ_CP035643.1	-	34641	30320	30800
GCF_021398345.1	NZ_CP071994.1	+	1032153	31673	32153
GCF_045935655.1	NZ_CP064549.1	+	1032156	31676	32156
GCF_045939555.1	NZ_CP064599.1	+	1032173	31693	32173
GCF_021513035.1	NZ_CP091006.1	+	1032153	31673	32153
GCF_016904135.1	NZ_CP070057.1	-	1030814	30334	30814
GCF_024204725.1	NZ_CP093170.1	+	1032167	31687	32167
GCF_045936855.1	NZ_CP064557.1	+	1032173	31693	32173
GCF_030291655.1	NZ_CP127869.1	+	1032156	31676	32156
GCF_019329405.1	NZ_CP073830.1	+	1031351	30871	31351
GCF_047654225.1	NZ_CP180297.1	-	1030801	30321	30801
GCF_047528345.1	NZ_CP180176.1	+	1032154	31674	32154
GCF_019329745.1	NZ_CP073865.1	-	248575	30336	30816
GCF_045930685.1	NZ_CP064512.1	+	1032156	31676	32156
GCF_024266825.1	NZ_CP090941.1	+	1032152	31672	32152
GCF_045938875.1	NZ_CP064587.1	+	1032174	31694	32174
GCF_045940065.1	NZ_CP064613.1	+	1032173	31693	32173
GCF_045942415.1	NZ_CP064631.1	+	1032173	31693	32173
GCF_014489335.1	NZ_CP060794.1	-	746793	30338	30818
GCF_021398305.1	NZ_CP071988.1	+	1034074	33594	34074
GCF_021513075.1	NZ_CP090985.1	+	1032153	31673	32153
GCF_021496015.1	NZ_CP090912.1	+	1032166	31686	32166
GCF_013317125.1	NZ_CP040883.1	+	1032173	31693	32173
GCF_024204805.1	NZ_CP093185.1	+	1032174	31694	32174
GCF_003856455.1	NZ_CP034115.1	+	1032153	31673	32153
GCF_022832935.1	NZ_CP094872.1	+	1032162	31682	32162
GCF_047528355.1	NZ_CP180178.1	+	1032154	31674	32154
GCF_042935295.1	NZ_CP170661.1	+	1032147	31667	32147
GCF_045866545.1	NZ_AP038759.1	-	1030818	30338	30818
GCF_045938865.1	NZ_CP064590.1	+	1032173	31693	32173
GCF_016026915.1	NZ_CP065656.1	-	1030793	30313	30793
GCF_024204905.1	NZ_CP093198.1	+	1032173	31693	32173
GCF_045940075.1	NZ_CP064609.1	+	1032173	31693	32173
GCF_045937765.1	NZ_CP064574.1	+	1032173	31693	32173
GCF_045942405.1	NZ_CP064626.1	+	1032156	31676	32156
GCF_045941025.1	NZ_CP064622.1	+	1032156	31676	32156
GCF_040370005.1	NZ_AP028322.1	+	1032111	31631	32111
GCF_024204845.1	NZ_CP093193.1	+	1032174	31694	32174
GCF_000759555.1	NZ_CP009046.1	-	1030765	30285	30765
GCF_029457635.1	NZ_CP120426.1	-	889612	30337	30817
GCF_029457575.1	NZ_CP120423.1	-	910957	30337	30817
GCF_014334295.1	NZ_CP060528.1	+	1032149	31669	32149
GCF_045788485.1	NZ_CP064498.1	+	1032155	31675	32155
GCF_041080605.1	NZ_CP163559.1	+	846893	31673	32153
GCF_038070525.1	NZ_CP114456.1	+	1032153	31673	32153
GCF_030435975.1	NZ_CP129372.1	+	1032154	31674	32154
GCF_045935645.1	NZ_CP064545.1	+	1032173	31693	32173
GCF_024204945.1	NZ_CP093208.1	+	1032161	31681	32161
GCF_045939605.1	NZ_CP064603.1	+	1032173	31693	32173
GCF_029691705.1	NZ_CP121486.1	-	946691	30329	30809
GCF_016889165.1	NZ_CP069473.1	+	1032169	31689	32169
GCF_029691835.1	NZ_CP121509.1	+	1032153	31673	32153
GCF_045927365.1	NZ_CP064646.1	+	1032156	31676	32156
GCF_045928505.1	NZ_CP064473.1	+	1032173	31693	32173
GCF_030014005.1	NZ_CP118820.1	+	1032170	31690	32170
GCF_000011925.1	NC_002976.3	-	1030800	30320	30800
GCF_021513095.1	NZ_CP090998.1	+	1032145	31665	32145
GCF_002215535.1	NZ_CP022247.1	+	581717	31674	32154
GCF_009769015.1	NZ_CP043841.1	+	1032145	31665	32145
GCF_045931845.1	NZ_CP064519.1	+	1032159	31679	32159
GCF_042934525.1	NZ_CP170659.1	+	1032158	31678	32158
GCF_000751035.1	NZ_HG813242.1	+	1032163	31683	32163
GCF_045930665.1	NZ_CP064504.1	+	1032156	31676	32156
GCF_025558705.1	NZ_CP094731.1	+	1032158	31678	32158
GCF_029691935.1	NZ_CP121527.1	+	742467	31687	32167
GCF_042464755.1	NZ_CP170248.1	+	1032163	31683	32163
GCF_045933105.1	NZ_CP064525.1	+	1032173	31693	32173
GCF_029691745.1	NZ_CP121522.1	+	1032169	31689	32169
GCF_016903575.1	NZ_CP069954.1	-	1030800	30320	30800
GCF_045786305.1	NZ_CP064485.1	+	1032172	31692	32172
GCF_029691875.1	NZ_CP121497.1	+	1032173	31693	32173
GCF_047653665.1	NZ_CP180313.1	-	1030812	30332	30812
GCF_019330185.1	NZ_CP073895.1	-	1030816	30336	30816
GCF_024204785.1	NZ_CP093181.1	+	1032173	31693	32173
GCF_045926625.1	NZ_CP064461.1	+	1032173	31693	32173
GCF_020181395.1	NZ_CP084008.1	-	403360	30325	30805
GCF_025809335.1	NZ_CP088002.1	-	1030816	30336	30816
GCF_045944145.1	NZ_CP064640.1	+	1032166	31686	32166
GCF_047305315.1	NZ_CP178723.1	+	1032156	31676	32156
GCF_016406625.1	NZ_CP066376.1	+	1032151	31671	32151
GCF_042464745.1	NZ_CP170247.1	+	1032153	31673	32153
GCF_045946425.1	NZ_CP064563.1	+	1032156	31676	32156
GCF_029457595.1	NZ_CP120424.1	+	1032169	31689	32169
GCF_000007645.1	NC_004461.1	+	1032149	31669	32149
GCF_045929835.1	NZ_CP064489.1	+	1032166	31686	32166
GCF_002944995.1	NZ_CP014119.1	-	1030803	30323	30803
GCF_022832895.1	NZ_CP094859.1	+	1032163	31683	32163
GCF_003812425.1	NZ_CP033782.1	-	947873	30309	30789
GCF_023547105.1	NZ_CP097514.1	+	1035640	35160	35640
GCF_045927375.1	NZ_CP064471.1	+	1032158	31678	32158
GCF_036419775.1	NZ_CP134839.1	+	1032154	31674	32154
GCF_045928515.1	NZ_CP064476.1	+	1032174	31694	32174
GCF_002954055.1	NZ_CP014132.1	-	426825	30314	30794
GCF_045931855.1	NZ_CP064521.1	+	1032166	31686	32166
GCF_030013985.1	NZ_CP118814.1	+	1032174	31694	32174
GCF_006094375.1	NZ_CP035288.1	+	1032161	31681	32161
GCF_002850315.1	NZ_CP013943.1	-	1030818	30338	30818
GCF_045930675.1	NZ_CP064508.1	+	1032174	31694	32174
GCF_045944115.1	NZ_CP064637.1	+	1032173	31693	32173
