replicon	Assembly	Accession	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_86	csm2gr11_III-A_1	86	CasFinder/CAS_Class1-Subtype-III-A	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_6	1	1	1	9	1	csm2gr11_III-A_15	mandatory	142	2.3e-26	88.4	1	0.676	43	138	NA	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_7,GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Cluster_8	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_87	csm3gr7_III-A_1	87	CasFinder/CAS_Class1-Subtype-III-A	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_6	1	1	1	9	1	csm3gr7_III-A_1	mandatory	215	2.8e-84	278.1	0.991	0.953	4	208	NA	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_7,GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Cluster_8	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_88	csm4gr5_III-A_3	88	CasFinder/CAS_Class1-Subtype-III-A	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_6	1	1	1	9	1	csm4gr5_III-A_3	mandatory	303	1.7e-51	171.1	0.971	0.987	3	301	NA	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_7,GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Cluster_8	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_89	csm5gr7_III-A_4	89	CasFinder/CAS_Class1-Subtype-III-A	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_6	1	1	1	9	1	csm5gr7_III-A_2	mandatory	341	1.3e-12	43.2	0.471	0.534	3	184	NA	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_7,GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Cluster_8	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_90	csm6_III_2	90	CasFinder/CAS_Class1-Subtype-III-A	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_6	1	1	1	9	1	csm6_III_2	accessory	423	1.1e-171	566.4	1	0.853	61	421	NA	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_7,GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Cluster_8	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_91	cas6_I_II_III_IV_V_VI_7	91	CasFinder/CAS_Class1-Subtype-III-A	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_6	1	1	1	9	1	cas6_I_II_III_IV_V_VI_15	accessory	245	2.6e-28	95.6	0.99	0.816	42	241	NA	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_7,GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_CAS_Cluster_8	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp	GCF_000011925.1	NC_002976.3	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_898	apyc1	898	defense-finder-models/ADF/Anti_Pycsar/apyc1	GCF_000011925.1_NC_002976.3_dnaA0_rlmHplus1Mbp_apyc1_9	1	1	1	1	1	apyc1	mandatory	246	3.2e-30	101.2	0.74	0.923	3	229	NA		Anti_Pycsar	apyc1	Antidefense
GCF_000751035.1_NZ_HG813242.1_dnaA0_rlmHplus1Mbp	GCF_000751035.1	NZ_HG813242.1	GCF_000751035.1_NZ_HG813242.1_dnaA0_rlmHplus1Mbp_61	RM_Type_IV__Type_IV_05	61	defense-finder-models/RM/RM/RM_Type_IV	GCF_000751035.1_NZ_HG813242.1_dnaA0_rlmHplus1Mbp_RM_Type_IV_1	1	1	0.167	1	1	RM_Type_IV__Type_IV_05	mandatory	264	5.9e-21	71.4	0.5	0.496	126	256	NA	NA	RM	RM_Type_IV	Defense
GCF_000759555.1_NZ_CP009046.1_dnaA0_rlmHplus1Mbp	GCF_000759555.1	NZ_CP009046.1	GCF_000759555.1_NZ_CP009046.1_dnaA0_rlmHplus1Mbp_100	acriia21	100	defense-finder-models/ADF/Anti_CRISPR/acriia21	GCF_000759555.1_NZ_CP009046.1_dnaA0_rlmHplus1Mbp_acriia21_1	1	1	0.071	1	1	acriia21	mandatory	100	2e-19	65.7	0.589	0.73	1	73	NA	NA	Anti_CRISPR	acriia21	Antidefense
GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp	GCF_002215535.1	NZ_CP022247.1	GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_24	cas9_II-A_II-B_II-C_1	24	CasFinder/CAS_Class2-Subtype-II-A	GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_CAS_Class2-Subtype-II-A_1	1	1	1	4	1	cas9_II-A_II-B_II-C_3	accessory	1054	5.9e-140	463.1	0.992	0.712	4	753	NA	GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_CAS_Class2-Type-II_2,GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_CAS_Cluster_3	Cas	CAS_Class2-Subtype-II-A	Defense
GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp	GCF_002215535.1	NZ_CP022247.1	GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_25	cas1_I_II_III_IV_V_VI_5	25	CasFinder/CAS_Class2-Subtype-II-A	GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_CAS_Class2-Subtype-II-A_1	1	1	1	4	1	cas1_I_II_III_IV_V_VI_5	accessory	302	3.2e-83	274	1	0.907	3	276	NA	GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_CAS_Class2-Type-II_2,GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_CAS_Cluster_3	Cas	CAS_Class2-Subtype-II-A	Defense
GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp	GCF_002215535.1	NZ_CP022247.1	GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_26	cas2_I_II_III_IV_V_VI_6	26	CasFinder/CAS_Class2-Subtype-II-A	GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_CAS_Class2-Subtype-II-A_1	1	1	1	4	1	cas2_I_II_III_IV_V_VI_6	accessory	108	3.6e-39	128.6	0.931	0.991	1	107	NA	GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_CAS_Class2-Type-II_2,GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_CAS_Cluster_3	Cas	CAS_Class2-Subtype-II-A	Defense
GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp	GCF_002215535.1	NZ_CP022247.1	GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_27	csn2_II-A_10	27	CasFinder/CAS_Class2-Subtype-II-A	GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_CAS_Class2-Subtype-II-A_1	1	1	1	4	1	csn2_II-A_4	mandatory	330	2.2e-142	469	0.988	0.997	1	329	NA	GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_CAS_Class2-Type-II_2,GCF_002215535.1_NZ_CP022247.1_dnaA0_rlmHplus1Mbp_CAS_Cluster_3	Cas	CAS_Class2-Subtype-II-A	Defense
GCF_002850315.1_NZ_CP013943.1_dnaA0_rlmHplus1Mbp	GCF_002850315.1	NZ_CP013943.1	GCF_002850315.1_NZ_CP013943.1_dnaA0_rlmHplus1Mbp_81	RM__Type_I_REases_FAM_0.einsi_trimmed	81	defense-finder-models/RM/RM/RM_Type_I	GCF_002850315.1_NZ_CP013943.1_dnaA0_rlmHplus1Mbp_RM_Type_I_2	1	1	1	3	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1040	8e-256	847.8	0.993	0.978	4	1020	NA	GCF_002850315.1_NZ_CP013943.1_dnaA0_rlmHplus1Mbp_PrrC_1	RM	RM_Type_I	Defense
GCF_002850315.1_NZ_CP013943.1_dnaA0_rlmHplus1Mbp	GCF_002850315.1	NZ_CP013943.1	GCF_002850315.1_NZ_CP013943.1_dnaA0_rlmHplus1Mbp_82	RM__Type_I_S_06	82	defense-finder-models/RM/RM/RM_Type_I	GCF_002850315.1_NZ_CP013943.1_dnaA0_rlmHplus1Mbp_RM_Type_I_2	1	1	1	3	1	RM__Type_I_S_01	mandatory	432	5.3e-64	212.7	0.741	0.972	1	420	NA	GCF_002850315.1_NZ_CP013943.1_dnaA0_rlmHplus1Mbp_PrrC_1	RM	RM_Type_I	Defense
GCF_002850315.1_NZ_CP013943.1_dnaA0_rlmHplus1Mbp	GCF_002850315.1	NZ_CP013943.1	GCF_002850315.1_NZ_CP013943.1_dnaA0_rlmHplus1Mbp_83	RM__Type_I_MTases_FAM_0	83	defense-finder-models/RM/RM/RM_Type_I	GCF_002850315.1_NZ_CP013943.1_dnaA0_rlmHplus1Mbp_RM_Type_I_2	1	1	1	3	1	RM__Type_I_MTases_FAM_0	mandatory	505	2.7e-181	599.7	0.979	0.984	6	502	NA	GCF_002850315.1_NZ_CP013943.1_dnaA0_rlmHplus1Mbp_PrrC_1	RM	RM_Type_I	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_54	RM__Type_I_REases_FAM_0.einsi_trimmed	54	defense-finder-models/RM/RM/RM_Type_I	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_RM_Type_I_3	1	1	1	3	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1040	4.1e-256	848.7	0.993	0.978	4	1020	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_PrrC_1	RM	RM_Type_I	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_55	RM__Type_I_S_06	55	defense-finder-models/RM/RM/RM_Type_I	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_RM_Type_I_3	1	1	1	3	1	RM__Type_I_S_01	mandatory	419	1.3e-66	221.2	0.739	0.969	2	407	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_PrrC_1	RM	RM_Type_I	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_56	RM__Type_I_MTases_FAM_0	56	defense-finder-models/RM/RM/RM_Type_I	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_RM_Type_I_3	1	1	1	3	1	RM__Type_I_MTases_FAM_0	mandatory	499	4.6e-182	602.2	0.979	0.984	6	496	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_PrrC_1	RM	RM_Type_I	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_84	RM__Type_I_REases_FAM_1.einsi_trimmed	84	defense-finder-models/RM/RM/RM_Type_I	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_RM_Type_I_4	1	1	1	3	1	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	1010	0	1071.1	0.987	0.98	3	992	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_PrrC_2	RM	RM_Type_I	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_85	RM__Type_I_S_04	85	defense-finder-models/RM/RM/RM_Type_I	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_RM_Type_I_4	1	1	1	3	1	RM__Type_I_S_01	mandatory	290	1.9e-39	131.9	0.544	0.979	4	287	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_PrrC_2	RM	RM_Type_I	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_87	RM__Type_I_MTases_FAM_3	87	defense-finder-models/RM/RM/RM_Type_I	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_RM_Type_I_4	1	1	1	3	1	RM__Type_I_MTases_FAM_0	mandatory	596	1.6e-192	637	0.721	0.805	12	491	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_PrrC_2	RM	RM_Type_I	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_93	cas1_I_II_III_IV_V_VI_5	93	CasFinder/CAS_Class1-Subtype-III-A	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_5	1	1	1	9	1	cas1_I_II_III_IV_V_VI_10	accessory	302	2e-97	321.5	0.996	0.917	3	279	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_6,GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Cluster_7	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_94	cas2_I_II_III_IV_V_VI_1	94	CasFinder/CAS_Class1-Subtype-III-A	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_5	1	1	1	9	1	cas2_I_II_III_IV_V_VI_5	accessory	102	8.8e-28	92.4	0.989	0.931	1	95	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_6,GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Cluster_7	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_95	cas10_III-A_1	95	CasFinder/CAS_Class1-Subtype-III-A	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_5	1	1	1	9	1	cas10_III-A_1	mandatory	758	2.1e-214	709.6	0.998	0.844	7	646	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_6,GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Cluster_7	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_96	csm2gr11_III-A_1	96	CasFinder/CAS_Class1-Subtype-III-A	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_5	1	1	1	9	1	csm2gr11_III-A_15	mandatory	142	2.2e-26	88.4	1	0.676	43	138	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_6,GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Cluster_7	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_97	csm3gr7_III-A_1	97	CasFinder/CAS_Class1-Subtype-III-A	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_5	1	1	1	9	1	csm3gr7_III-A_1	mandatory	215	8e-84	276.5	0.991	0.953	4	208	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_6,GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Cluster_7	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_98	csm4gr5_III-A_3	98	CasFinder/CAS_Class1-Subtype-III-A	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_5	1	1	1	9	1	csm4gr5_III-A_3	mandatory	303	1.2e-51	171.6	0.971	0.987	3	301	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_6,GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Cluster_7	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_99	csm5gr7_III-A_4	99	CasFinder/CAS_Class1-Subtype-III-A	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_5	1	1	1	9	1	csm5gr7_III-A_2	mandatory	341	1.6e-12	42.9	0.455	0.525	3	181	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_6,GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Cluster_7	Cas	CAS_Class1-Subtype-III-A	Defense
GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp	GCF_002944995.1	NZ_CP014119.1	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_100	csm6_III_2	100	CasFinder/CAS_Class1-Subtype-III-A	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Subtype-III-A_5	1	1	1	9	1	csm6_III_2	accessory	423	6.7e-167	550.6	1	0.853	61	421	NA	GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Class1-Type-III_6,GCF_002944995.1_NZ_CP014119.1_dnaA0_rlmHplus1Mbp_CAS_Cluster_7	Cas	CAS_Class1-Subtype-III-A	Defense
